Reporting Economy;Product/Sector;Partner Economy;2015;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Indonesia;230;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Italy;150;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Japan;1514;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Korea, Republic of;457;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Macao, China;459;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Malaysia;260;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Netherlands;211;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Philippines;211;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Singapore;2444;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Chinese Taipei;569;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;Thailand;381;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;United Kingdom;5211;;;;;;
Hong Kong, China;BOP6 - SOX1 - Other commercial services;United States of America;8654;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Australia;25;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Belgium-Luxembourg;0;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Canada;20;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;China;537;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;European Union (28);94;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;France;21;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;G-7 (Group of Seven);336;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Germany;2;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;India;5;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Indonesia;26;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Italy;0;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Japan;151;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Korea, Republic of;47;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Macao, China;42;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Malaysia;6;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Netherlands;8;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Philippines;33;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Singapore;43;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Switzerland;1;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Chinese Taipei;164;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;Thailand;4;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;United Kingdom;61;;;;;;
Hong Kong, China;BOP6 - SF - Insurance and pension services;United States of America;80;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Australia;295;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Belgium-Luxembourg;688;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;Canada;81;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;China;1210;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;European Union (28);5967;;;;;;
Hong Kong, China;BOP6 - SG - Financial services;France;1139;;;;;;
